route_id,year,direction_1,month,v,TTI
9,2018,FALSE,12,29.18,1.44
9,2019,FALSE,1,29.48,1.42
9,2019,FALSE,2,29.71,1.41
9,2019,FALSE,3,29.60,1.41
9,2019,FALSE,4,29.86,1.40
9,2019,FALSE,5,29.80,1.41
9,2019,FALSE,6,29.94,1.40
9,2019,FALSE,7,30.20,1.39
9,2019,FALSE,8,30.01,1.40
9,2019,FALSE,9,30.52,1.38
9,2019,FALSE,10,29.51,1.42
7,2017,FALSE,10,36.89,1.42
7,2017,FALSE,11,37.47,1.40
7,2017,FALSE,12,37.24,1.41
7,2018,FALSE,1,38.55,1.36
7,2018,FALSE,2,39.06,1.31
7,2018,FALSE,3,37.40,1.38
7,2018,FALSE,4,36.59,1.43
7,2018,FALSE,5,37.36,1.41
7,2018,FALSE,6,36.88,1.43
7,2018,FALSE,7,38.15,1.38
7,2018,FALSE,8,39.32,1.34
7,2018,FALSE,9,38.37,1.37
7,2018,FALSE,10,35.83,1.47
7,2018,FALSE,11,37.76,1.39
7,2018,FALSE,12,38.13,1.38
7,2019,FALSE,1,37.57,1.40
7,2019,FALSE,2,38.90,1.35
7,2019,FALSE,3,38.41,1.37
7,2019,FALSE,4,38.44,1.37
7,2019,FALSE,5,38.38,1.37
7,2019,FALSE,6,39.04,1.35
7,2019,FALSE,7,38.79,1.36
7,2019,FALSE,8,39.56,1.33
7,2019,FALSE,9,39.28,1.34
7,2019,FALSE,10,38.11,1.38
8,2017,FALSE,10,39.04,1.42
8,2017,FALSE,11,39.16,1.42
8,2017,FALSE,12,39.93,1.39
8,2018,FALSE,1,40.57,1.37
8,2018,FALSE,2,34.58,1.57
8,2018,FALSE,3,37.91,1.47
8,2018,FALSE,4,40.59,1.37
8,2018,FALSE,5,41.15,1.35
8,2018,FALSE,6,40.08,1.38
8,2018,FALSE,7,39.76,1.40
8,2018,FALSE,8,40.86,1.36
8,2018,FALSE,9,39.97,1.39
8,2018,FALSE,10,39.35,1.41
8,2018,FALSE,11,40.97,1.35
8,2018,FALSE,12,41.79,1.33
8,2019,FALSE,1,42.32,1.31
8,2019,FALSE,2,42.42,1.31
8,2019,FALSE,3,41.86,1.33
8,2019,FALSE,4,41.45,1.34
8,2019,FALSE,5,41.90,1.32
8,2019,FALSE,6,42.25,1.31
8,2019,FALSE,7,40.57,1.37
8,2019,FALSE,8,42.01,1.32
8,2019,FALSE,9,42.07,1.32
8,2019,FALSE,10,41.73,1.33
1,2017,FALSE,10,25.80,1.56
1,2017,FALSE,11,25.64,1.57
1,2017,FALSE,12,25.20,1.60
1,2018,FALSE,1,28.26,1.42
1,2018,FALSE,2,27.50,1.50
1,2018,FALSE,3,26.06,1.53
1,2018,FALSE,4,26.00,1.55
1,2018,FALSE,5,26.40,1.52
1,2018,FALSE,6,26.72,1.51
1,2018,FALSE,7,26.64,1.51
1,2018,FALSE,8,27.19,1.48
1,2018,FALSE,9,26.94,1.49
1,2018,FALSE,10,26.47,1.52
1,2018,FALSE,11,27.04,1.49
1,2018,FALSE,12,26.31,1.53
1,2019,FALSE,1,28.04,1.43
1,2019,FALSE,2,27.73,1.45
1,2019,FALSE,3,27.41,1.47
1,2019,FALSE,4,27.35,1.47
1,2019,FALSE,5,27.32,1.47
1,2019,FALSE,6,27.51,1.46
1,2019,FALSE,7,27.32,1.47
1,2019,FALSE,8,28.33,1.42
1,2019,FALSE,9,28.31,1.42
1,2019,FALSE,10,27.06,1.49
3,2017,FALSE,0,37.15,1.44
3,2018,FALSE,0,37.50,1.42
3,2019,FALSE,0,38.24,1.40
2,2017,FALSE,0,35.14,1.41
2,2018,FALSE,0,35.40,1.39
