segment_id,direction_1,year,month,v,TTI
901268670,FALSE,2019,5,60.66,1.15
901268670,FALSE,2019,6,60.42,1.16
901268670,FALSE,2019,7,59.72,1.17
901268670,FALSE,2019,8,59.4,1.18
901268670,FALSE,2019,9,59.78,1.17
901268670,FALSE,2019,10,58.35,1.2
901268688,FALSE,2017,10,59.03,1.15
901268688,FALSE,2017,11,57.96,1.17
901268688,FALSE,2017,12,58.63,1.16
901268688,FALSE,2018,1,58.47,1.16
901268688,FALSE,2018,2,60.99,1.11
901268688,FALSE,2018,3,56.81,1.2
901268688,FALSE,2018,4,55.64,1.22
901268688,FALSE,2018,5,56.49,1.2
901268688,FALSE,2018,6,55.45,1.23
901268688,FALSE,2018,7,52.64,1.29
901268688,FALSE,2018,8,56.52,1.2
901268688,FALSE,2018,9,58.22,1.17
901268688,FALSE,2018,10,53.2,1.28
901268688,FALSE,2018,11,57.43,1.18
901268688,FALSE,2018,12,56.34,1.21
901268688,FALSE,2019,1,54.7,1.24
901268688,FALSE,2019,2,56.57,1.2
901268688,FALSE,2019,3,56.95,1.19
901268688,FALSE,2019,4,57.54,1.18
901268688,FALSE,2019,5,57.54,1.18
901268688,FALSE,2019,6,57.42,1.18
901268688,FALSE,2019,7,56.78,1.2
901268688,FALSE,2019,8,57.48,1.18
901268688,FALSE,2019,9,58.54,1.16
901268688,FALSE,2019,10,56.86,1.2
901268778,TRUE,2017,10,45.42,1.25
901268778,TRUE,2017,11,45.65,1.25
901268778,TRUE,2017,12,45.42,1.25
901268778,TRUE,2018,1,47.47,1.2
901268778,TRUE,2018,2,48.8,1.17
901268778,TRUE,2018,3,44.53,1.28
901268778,TRUE,2018,4,45.29,1.26
901268778,TRUE,2018,5,43.19,1.32
901268778,TRUE,2018,6,44.64,1.28
901268778,TRUE,2018,7,44.01,1.3
901268778,TRUE,2018,8,45.58,1.25
901268778,TRUE,2018,9,44.98,1.27
901268778,TRUE,2018,10,43.43,1.31
901268778,TRUE,2018,11,36.5,1.56
901268778,TRUE,2018,12,44.96,1.27
901268778,TRUE,2019,1,45.34,1.26
901268778,TRUE,2019,2,45.92,1.24
901268778,TRUE,2019,3,45.26,1.26
901268778,TRUE,2019,4,44.24,1.29
901268778,TRUE,2019,5,43.91,1.3
901268778,TRUE,2019,6,45.71,1.25
901268778,TRUE,2019,7,44.62,1.28
901268778,TRUE,2019,8,45.59,1.25
901268778,TRUE,2019,9,45.21,1.26
901268778,TRUE,2019,10,44.62,1.28
901268796,FALSE,2017,10,25,1.44
901268796,FALSE,2017,11,24.84,1.45
901268796,FALSE,2017,12,24.87,1.45
901268796,FALSE,2018,1,26.54,1.36
901268796,FALSE,2018,2,28.93,1.24
901268796,FALSE,2018,3,26.78,1.34
901268796,FALSE,2018,4,24.4,1.48
901268796,FALSE,2018,5,24.82,1.45
901268796,FALSE,2018,6,25.45,1.41
901268796,FALSE,2018,7,25.44,1.42
901268796,FALSE,2018,8,25.69,1.4
901268796,FALSE,2018,9,25.77,1.4
901268796,FALSE,2018,10,24.62,1.46
901268796,FALSE,2018,11,25.24,1.43
901268796,FALSE,2018,12,25.22,1.43
901268796,FALSE,2019,1,25.34,1.42
